epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,253.809,1.12089,0.916,1.05357,0.87917,0.88379,0.92294,0.63011,1.12694,0.70066,1.09918,5.52092e-05,5.52092e-05,5.52092e-05
40,260.219,1.12999,0.90442,1.06154,0.88575,0.86578,0.91725,0.62511,1.13367,0.70858,1.10216,5.48726e-05,5.48726e-05,5.48726e-05
41,266.612,1.12846,0.90598,1.05532,0.88246,0.86038,0.91972,0.62024,1.14753,0.71724,1.10395,5.4536e-05,5.4536e-05,5.4536e-05
42,272.88,1.13187,0.9196,1.06154,0.85939,0.87949,0.9217,0.62407,1.13623,0.71843,1.10179,5.41994e-05,5.41994e-05,5.41994e-05
43,279.156,1.12045,0.91361,1.0624,0.89169,0.85566,0.92653,0.6287,1.13546,0.70745,1.10587,5.38628e-05,5.38628e-05,5.38628e-05
44,285.431,1.12498,0.91494,1.06472,0.88335,0.87861,0.92829,0.63622,1.12858,0.69275,1.10207,5.35262e-05,5.35262e-05,5.35262e-05
45,291.706,1.13475,0.91241,1.06788,0.88476,0.8698,0.92232,0.62591,1.12371,0.69977,1.1016,5.31896e-05,5.31896e-05,5.31896e-05
46,298.09,1.12187,0.93162,1.05995,0.88473,0.87995,0.91936,0.62046,1.14711,0.7004,1.10995,5.2853e-05,5.2853e-05,5.2853e-05
47,304.348,1.12328,0.9124,1.05861,0.87713,0.87491,0.92054,0.62249,1.13534,0.70107,1.10702,5.25164e-05,5.25164e-05,5.25164e-05
48,310.621,1.11093,0.89216,1.05938,0.88354,0.8728,0.92274,0.62373,1.11889,0.69288,1.09928,5.21798e-05,5.21798e-05,5.21798e-05
49,316.877,1.1198,0.89478,1.05657,0.88486,0.87708,0.92126,0.62133,1.12351,0.70595,1.10141,5.18432e-05,5.18432e-05,5.18432e-05
50,323.166,1.1194,0.87569,1.05969,0.8871,0.87124,0.91926,0.62258,1.13539,0.70561,1.1083,5.15066e-05,5.15066e-05,5.15066e-05
51,329.461,1.13168,0.90925,1.06018,0.88726,0.85863,0.91736,0.62353,1.13506,0.71508,1.10757,5.117e-05,5.117e-05,5.117e-05
52,335.66,1.13621,0.9086,1.06274,0.89877,0.84351,0.91949,0.62333,1.13662,0.70377,1.10579,5.08334e-05,5.08334e-05,5.08334e-05
53,341.891,1.12625,0.90917,1.06128,0.86631,0.87528,0.92162,0.62529,1.13253,0.70339,1.10187,5.04968e-05,5.04968e-05,5.04968e-05
54,348.179,1.10473,0.87734,1.05427,0.8764,0.87962,0.9218,0.62503,1.13397,0.71212,1.10052,5.01602e-05,5.01602e-05,5.01602e-05
55,354.453,1.11144,0.90287,1.06073,0.8796,0.87478,0.92211,0.62419,1.14107,0.71873,1.10178,4.98236e-05,4.98236e-05,4.98236e-05
56,360.663,1.12388,0.90945,1.06609,0.87379,0.88138,0.92518,0.62452,1.14797,0.70382,1.1065,4.9487e-05,4.9487e-05,4.9487e-05
57,366.904,1.10497,0.89938,1.05363,0.8699,0.87249,0.92393,0.62716,1.14481,0.70258,1.10324,4.91504e-05,4.91504e-05,4.91504e-05
58,373.256,1.11848,0.88965,1.06011,0.87597,0.86025,0.92015,0.63072,1.13153,0.70709,1.09915,4.88138e-05,4.88138e-05,4.88138e-05
59,379.521,1.12107,0.90296,1.05938,0.88741,0.83935,0.91788,0.62288,1.14265,0.71242,1.10026,4.84772e-05,4.84772e-05,4.84772e-05
60,385.794,1.11154,0.88261,1.0613,0.85234,0.88903,0.92358,0.62734,1.14463,0.70134,1.10165,4.81406e-05,4.81406e-05,4.81406e-05
61,392.109,1.12085,0.89773,1.0601,0.89108,0.86841,0.92273,0.6267,1.13817,0.70823,1.10007,4.7804e-05,4.7804e-05,4.7804e-05
62,398.406,1.11852,0.87959,1.05745,0.85407,0.89734,0.92229,0.62472,1.14324,0.69711,1.10468,4.74674e-05,4.74674e-05,4.74674e-05
63,404.635,1.12823,0.89581,1.06749,0.87574,0.87483,0.92058,0.62343,1.14037,0.70181,1.10587,4.71308e-05,4.71308e-05,4.71308e-05
64,410.881,1.11603,0.87065,1.05073,0.88374,0.88154,0.92342,0.62555,1.12991,0.7023,1.10173,4.67942e-05,4.67942e-05,4.67942e-05
65,417.205,1.10534,0.87031,1.04595,0.86736,0.87565,0.91943,0.62494,1.13389,0.70441,1.10335,4.64576e-05,4.64576e-05,4.64576e-05
66,423.476,1.10958,0.86851,1.05266,0.86618,0.87486,0.92015,0.62491,1.13393,0.70678,1.10345,4.6121e-05,4.6121e-05,4.6121e-05
67,429.749,1.10988,0.88292,1.05207,0.86978,0.88906,0.92726,0.62885,1.13193,0.68789,1.10397,4.57844e-05,4.57844e-05,4.57844e-05
68,436.006,1.10762,0.86962,1.05177,0.86504,0.89545,0.92426,0.63074,1.1318,0.6969,1.10461,4.54478e-05,4.54478e-05,4.54478e-05
69,442.34,1.1079,0.88259,1.05691,0.8504,0.89669,0.92483,0.62936,1.12588,0.69205,1.10448,4.51112e-05,4.51112e-05,4.51112e-05
70,448.627,1.10704,0.87569,1.05862,0.87181,0.86464,0.92245,0.62816,1.13386,0.7089,1.1086,4.47746e-05,4.47746e-05,4.47746e-05
71,454.87,1.09263,0.85427,1.04525,0.87324,0.87503,0.92355,0.62589,1.1436,0.7125,1.11311,4.4438e-05,4.4438e-05,4.4438e-05
72,461.234,1.11812,0.89007,1.06325,0.87518,0.86769,0.92201,0.62648,1.14344,0.71615,1.10736,4.41014e-05,4.41014e-05,4.41014e-05
73,467.623,1.091,0.84546,1.04351,0.89177,0.86227,0.92308,0.63244,1.1369,0.6971,1.10087,4.37648e-05,4.37648e-05,4.37648e-05
74,474.445,1.10564,0.86183,1.04551,0.88214,0.87271,0.9248,0.63164,1.14453,0.69516,1.1034,4.34282e-05,4.34282e-05,4.34282e-05
75,480.691,1.10441,0.85784,1.05034,0.88524,0.87617,0.9264,0.62743,1.14684,0.67952,1.10613,4.30916e-05,4.30916e-05,4.30916e-05
76,486.885,1.10554,0.85819,1.05055,0.86204,0.89235,0.9249,0.62977,1.15178,0.68416,1.10764,4.2755e-05,4.2755e-05,4.2755e-05
77,493.204,1.10589,0.88326,1.05431,0.85968,0.88879,0.92345,0.62848,1.14604,0.68922,1.10912,4.24184e-05,4.24184e-05,4.24184e-05
78,499.462,1.10905,0.87234,1.05511,0.8784,0.87283,0.92418,0.62954,1.1514,0.69424,1.10984,4.20818e-05,4.20818e-05,4.20818e-05
79,505.688,1.09516,0.85504,1.04901,0.86656,0.88938,0.92647,0.62797,1.15245,0.69974,1.11248,4.17452e-05,4.17452e-05,4.17452e-05
80,511.991,1.10793,0.85857,1.05264,0.86837,0.89028,0.92613,0.63606,1.12741,0.69105,1.09778,4.14086e-05,4.14086e-05,4.14086e-05
81,518.382,1.10982,0.86527,1.05429,0.86405,0.89164,0.92671,0.63438,1.13551,0.69383,1.10485,4.1072e-05,4.1072e-05,4.1072e-05
82,524.654,1.10301,0.85993,1.05236,0.88175,0.88566,0.92572,0.63181,1.13629,0.69788,1.10561,4.07354e-05,4.07354e-05,4.07354e-05
83,530.973,1.11038,0.87277,1.05748,0.88001,0.88535,0.92377,0.63399,1.12902,0.69833,1.09951,4.03988e-05,4.03988e-05,4.03988e-05
84,537.325,1.10124,0.84702,1.04758,0.86195,0.88727,0.92361,0.63235,1.13705,0.70298,1.10052,4.00622e-05,4.00622e-05,4.00622e-05
85,543.565,1.07913,0.83603,1.04602,0.87688,0.86949,0.92031,0.62591,1.15036,0.71686,1.10869,3.97256e-05,3.97256e-05,3.97256e-05
86,549.823,1.0974,0.84392,1.04299,0.88234,0.87195,0.92052,0.62404,1.15729,0.72749,1.11403,3.9389e-05,3.9389e-05,3.9389e-05
87,556.088,1.10406,0.86893,1.05726,0.86699,0.87888,0.9239,0.63074,1.14308,0.7105,1.10419,3.90524e-05,3.90524e-05,3.90524e-05
88,562.369,1.09957,0.84718,1.05254,0.85163,0.88497,0.92098,0.62428,1.15382,0.72323,1.11062,3.87158e-05,3.87158e-05,3.87158e-05
89,568.615,1.07941,0.83151,1.03921,0.87229,0.88099,0.92217,0.63403,1.14128,0.69483,1.10332,3.83792e-05,3.83792e-05,3.83792e-05
90,574.87,1.10075,0.85981,1.05006,0.90139,0.86817,0.92205,0.62935,1.14239,0.69728,1.10912,3.80426e-05,3.80426e-05,3.80426e-05
91,581.262,1.08162,0.83813,1.04073,0.89524,0.86873,0.92826,0.63099,1.13936,0.70081,1.10868,3.7706e-05,3.7706e-05,3.7706e-05
92,587.565,1.1049,0.85384,1.05207,0.88535,0.87598,0.92873,0.63224,1.13915,0.69414,1.10547,3.73694e-05,3.73694e-05,3.73694e-05
93,593.904,1.105,0.8488,1.0523,0.86951,0.88193,0.92634,0.63099,1.14239,0.70908,1.1067,3.70328e-05,3.70328e-05,3.70328e-05
94,600.166,1.0987,0.83828,1.04913,0.91211,0.85393,0.93165,0.6354,1.14012,0.69217,1.10387,3.66962e-05,3.66962e-05,3.66962e-05
95,606.503,1.09518,0.83269,1.04625,0.91919,0.85192,0.93195,0.63547,1.13842,0.68883,1.10542,3.63596e-05,3.63596e-05,3.63596e-05
96,612.728,1.10688,0.8513,1.05558,0.88584,0.87705,0.93014,0.63529,1.14382,0.68699,1.10505,3.6023e-05,3.6023e-05,3.6023e-05
97,618.969,1.09275,0.84554,1.04612,0.91051,0.8613,0.92865,0.63202,1.1488,0.69586,1.10753,3.56864e-05,3.56864e-05,3.56864e-05
98,625.273,1.07887,0.83239,1.03928,0.88276,0.88181,0.92944,0.63105,1.1372,0.69407,1.10624,3.53498e-05,3.53498e-05,3.53498e-05
99,631.64,1.09419,0.83136,1.04539,0.89361,0.87978,0.93034,0.63337,1.14646,0.70429,1.11268,3.50132e-05,3.50132e-05,3.50132e-05
100,637.886,1.10822,0.87184,1.05215,0.90916,0.86217,0.92717,0.63004,1.15735,0.71729,1.11962,3.46766e-05,3.46766e-05,3.46766e-05
101,644.1,1.08533,0.8437,1.04365,0.90241,0.85635,0.92783,0.62957,1.15723,0.71836,1.11738,3.434e-05,3.434e-05,3.434e-05
102,650.381,1.09585,0.83911,1.04817,0.87576,0.88274,0.92702,0.63602,1.14104,0.70108,1.10783,3.40034e-05,3.40034e-05,3.40034e-05
103,656.627,1.09644,0.84006,1.0506,0.87056,0.88617,0.92656,0.63446,1.14532,0.69947,1.10451,3.36668e-05,3.36668e-05,3.36668e-05
104,662.857,1.08461,0.83376,1.04226,0.88271,0.88027,0.9257,0.62847,1.14508,0.70642,1.10672,3.33302e-05,3.33302e-05,3.33302e-05
105,669.098,1.09452,0.83488,1.05074,0.87857,0.89118,0.92529,0.62777,1.14581,0.70745,1.10774,3.29936e-05,3.29936e-05,3.29936e-05
106,675.388,1.08644,0.83246,1.04646,0.88984,0.88261,0.92336,0.62812,1.14228,0.7018,1.10511,3.2657e-05,3.2657e-05,3.2657e-05
107,681.613,1.08182,0.834,1.05021,0.87349,0.89242,0.9227,0.62575,1.16434,0.71023,1.1157,3.23204e-05,3.23204e-05,3.23204e-05
108,687.838,1.0913,0.83452,1.0449,0.87586,0.88957,0.92409,0.63066,1.15606,0.71108,1.11404,3.19838e-05,3.19838e-05,3.19838e-05
109,694.067,1.0802,0.82049,1.04108,0.88117,0.88645,0.92485,0.62567,1.14479,0.71076,1.10619,3.16472e-05,3.16472e-05,3.16472e-05
110,700.364,1.0762,0.8221,1.04434,0.87881,0.89858,0.92713,0.63291,1.14083,0.69618,1.10307,3.13106e-05,3.13106e-05,3.13106e-05
111,706.64,1.09231,0.8254,1.04944,0.88156,0.89068,0.92632,0.63078,1.14054,0.68857,1.1073,3.0974e-05,3.0974e-05,3.0974e-05
112,712.945,1.07439,0.8125,1.0359,0.87743,0.88973,0.92572,0.62751,1.14182,0.69817,1.10534,3.06374e-05,3.06374e-05,3.06374e-05
113,719.264,1.10811,0.85285,1.05696,0.8719,0.89219,0.92863,0.62857,1.14745,0.69183,1.1077,3.03008e-05,3.03008e-05,3.03008e-05
114,725.66,1.09531,0.84983,1.05026,0.8848,0.88277,0.92899,0.62748,1.14996,0.68644,1.10893,2.99642e-05,2.99642e-05,2.99642e-05
115,731.843,1.08155,0.80231,1.04316,0.8839,0.88429,0.92733,0.63206,1.13858,0.69737,1.10815,2.96276e-05,2.96276e-05,2.96276e-05
116,738.127,1.10443,0.85897,1.05185,0.88482,0.87407,0.92532,0.62549,1.14236,0.69993,1.11147,2.9291e-05,2.9291e-05,2.9291e-05
117,754.642,1.08544,0.82813,1.04438,0.87686,0.8875,0.92785,0.63111,1.1445,0.70163,1.10806,2.89544e-05,2.89544e-05,2.89544e-05
118,767.597,1.08086,0.82553,1.03998,0.87742,0.88716,0.92847,0.62726,1.14718,0.69898,1.10638,2.86178e-05,2.86178e-05,2.86178e-05
119,781.643,1.09682,0.83951,1.05628,0.88511,0.88023,0.9245,0.62763,1.15227,0.70938,1.10961,2.82812e-05,2.82812e-05,2.82812e-05
120,787.915,1.08477,0.8214,1.04637,0.87346,0.87371,0.92157,0.62526,1.14452,0.70083,1.11171,2.79446e-05,2.79446e-05,2.79446e-05
121,795.622,1.08545,0.81793,1.0394,0.87399,0.88184,0.92579,0.62272,1.13594,0.69667,1.10586,2.7608e-05,2.7608e-05,2.7608e-05
122,801.832,1.08429,0.82877,1.04859,0.88796,0.87048,0.92907,0.62735,1.14042,0.69431,1.10432,2.72714e-05,2.72714e-05,2.72714e-05
123,808.042,1.07856,0.8156,1.04623,0.89643,0.84794,0.92341,0.62545,1.14292,0.70272,1.10631,2.69348e-05,2.69348e-05,2.69348e-05
124,814.284,1.09068,0.83186,1.04955,0.87344,0.8925,0.92606,0.62887,1.14133,0.69704,1.10424,2.65982e-05,2.65982e-05,2.65982e-05
125,820.603,1.10051,0.84067,1.05355,0.89341,0.88584,0.92557,0.62776,1.13511,0.6924,1.10268,2.62616e-05,2.62616e-05,2.62616e-05
126,826.844,1.08964,0.82168,1.0423,0.86861,0.89453,0.92586,0.62705,1.13489,0.6949,1.1084,2.5925e-05,2.5925e-05,2.5925e-05
127,833.022,1.07512,0.81283,1.04321,0.88513,0.88466,0.92844,0.62322,1.12736,0.68876,1.10342,2.55884e-05,2.55884e-05,2.55884e-05
128,839.248,1.08274,0.82584,1.04083,0.87344,0.89268,0.92865,0.62496,1.12861,0.68948,1.10068,2.52518e-05,2.52518e-05,2.52518e-05
129,845.709,1.07513,0.80955,1.04024,0.88282,0.87811,0.92617,0.62398,1.13618,0.70493,1.10666,2.49152e-05,2.49152e-05,2.49152e-05
130,851.936,1.09504,0.85152,1.05445,0.89426,0.88263,0.92968,0.62404,1.13752,0.70083,1.10787,2.45786e-05,2.45786e-05,2.45786e-05
131,858.188,1.08792,0.81881,1.04758,0.89631,0.87531,0.92682,0.62589,1.1333,0.6955,1.10369,2.4242e-05,2.4242e-05,2.4242e-05
132,864.536,1.08638,0.82573,1.04531,0.88384,0.88402,0.92868,0.62654,1.13381,0.69823,1.10269,2.39054e-05,2.39054e-05,2.39054e-05
133,870.87,1.07993,0.81714,1.04777,0.89674,0.87766,0.93007,0.63181,1.13572,0.69313,1.10413,2.35688e-05,2.35688e-05,2.35688e-05
134,877.101,1.08561,0.82703,1.04539,0.90633,0.88585,0.93126,0.62765,1.137,0.69066,1.10653,2.32322e-05,2.32322e-05,2.32322e-05
135,883.4,1.08397,0.81793,1.04286,0.90444,0.88284,0.92883,0.6277,1.13897,0.69875,1.1072,2.28956e-05,2.28956e-05,2.28956e-05
136,889.723,1.07333,0.81127,1.03249,0.89029,0.88747,0.92631,0.62687,1.14019,0.69795,1.10842,2.2559e-05,2.2559e-05,2.2559e-05
137,896.079,1.08087,0.81928,1.04183,0.88336,0.89066,0.92655,0.62801,1.14276,0.70155,1.11046,2.22224e-05,2.22224e-05,2.22224e-05
138,902.409,1.10079,0.83823,1.05216,0.881,0.88228,0.92316,0.62269,1.14067,0.70157,1.11173,2.18858e-05,2.18858e-05,2.18858e-05
139,908.65,1.07946,0.82475,1.04272,0.88811,0.88697,0.92537,0.62348,1.13499,0.69046,1.10594,2.15492e-05,2.15492e-05,2.15492e-05
140,914.906,1.07313,0.81831,1.03482,0.89465,0.88663,0.92832,0.63061,1.13854,0.68867,1.10501,2.12126e-05,2.12126e-05,2.12126e-05
141,921.147,1.05227,0.7871,1.03212,0.90112,0.88587,0.92778,0.6296,1.1361,0.68953,1.10515,2.0876e-05,2.0876e-05,2.0876e-05
142,927.499,1.06073,0.79601,1.03954,0.89513,0.88338,0.92712,0.62935,1.14065,0.69834,1.10419,2.05394e-05,2.05394e-05,2.05394e-05
143,933.771,1.07601,0.8044,1.04424,0.87507,0.89435,0.92537,0.62556,1.14357,0.70631,1.10881,2.02028e-05,2.02028e-05,2.02028e-05
144,939.997,1.08473,0.81851,1.04409,0.89376,0.87264,0.92679,0.62692,1.14316,0.70886,1.11048,1.98662e-05,1.98662e-05,1.98662e-05
